param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1171,,,,,,,1.194,0.,1.194,,,,,,,,,,,,
1177,,,,0.528,0.,0.528,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,0.03,0.,0.03
1208,,,,0.535,0.,0.535,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,0.031,0.,0.032
1239,,,,0.572,0.,0.572,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.156,0.004,0.009,0.154,0.,0.013,,,,,,
1256,,,,,,,,,,,,,,,,,,,0.034,0.,0.034
1261,,,,,,,1.442,0.011,1.43,,,,,,,,,,,,
1269,,,,0.612,0.003,0.608,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1300,,,,0.636,0.,0.636,,,,,,,,,,,,,,,
1331,,,,0.691,0.003,0.687,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,0.038,0.,0.038
1351,,,,,,,1.694,0.012,1.681,,,,,,,,,,,,
1362,,,,0.682,0.,0.682,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.156,0.003,0.011,0.152,0.004,0.01,,,,,,
1370,,,,1.08,0.,1.08,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,0.039,0.,0.039
1393,,,,0.739,0.,0.733,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,0.04,0.,0.04
1424,,,,0.758,0.,0.758,,,,,,,,,,,,,,,
1441,,,,,,,1.798,0.,1.798,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,0.042,0.,0.042
1454,,,,,,,2.128,0.003,2.124,,,,,,,,,,,,
1479,,,,,,,,,,0.158,0.007,0.013,0.156,0.003,0.012,,,,,,
1491,,,,,,,,,,,,,,,,,,,0.045,0.,0.045
1530,,,,,,,,,,,,,,,,,,,0.047,0.,0.047
1531,,,,,,,2.083,0.,2.083,,,,,,,,,,,,
1566,,,,0.951,0.,0.951,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,0.048,0.,0.048
1593,,,,,,,,,,0.156,0.007,0.011,0.16,0.004,0.013,,,,,,
1609,,,,,,,,,,,,,,,,,,,0.051,0.,0.051
1621,,,,,,,2.296,0.,2.296,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
1687,,,,,,,,,,,,,,,,,,,0.056,0.,0.056
1706,,,,,,,,,,0.157,0.,0.018,0.196,0.012,0.044,,,,,,
1709,,,,1.127,0.,1.127,,,,,,,,,,,,,,,
1711,,,,,,,2.587,0.,2.587,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,0.057,0.,0.057
1765,,,,,,,,,,,,,,,,,,,0.064,0.,0.064
1801,,,,,,,2.713,0.019,2.693,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,0.089,0.,0.089
1820,,,,,,,,,,0.17,0.,0.023,0.168,0.003,0.018,,,,,,
1826,,,,1.429,0.,1.428,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,0.068,0.,0.068
1851,,,,1.287,0.003,1.283,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,0.071,0.003,0.068
1922,,,,,,,,,,,,,,,,,,,0.078,0.,0.078
1933,,,,,,,,,,0.161,0.004,0.018,0.297,0.007,0.145,,,,,,
1961,,,,,,,,,,,,,,,,,,,0.204,0.,0.204
1993,,,,1.441,0.,1.441,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,0.081,0.,0.081
2013,,,,,,,,,,,,,,,,,,,0.135,0.003,0.131
2040,,,,,,,,,,,,,,,,,,,0.082,0.,0.082
2047,,,,,,,,,,0.158,0.002,0.02,0.159,0.005,0.018,,,,,,
2079,,,,,,,,,,,,,,,,,,,0.096,0.,0.096
2118,,,,,,,,,,,,,,,,,,,0.087,0.,0.087
2136,,,,1.675,0.,1.675,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,0.089,0.,0.089
2161,,,,,,,3.984,0.,3.983,0.167,0.007,0.022,0.171,0.003,0.023,,,,,,
2197,,,,,,,,,,,,,,,,,,,0.095,0.,0.095
2236,,,,,,,,,,,,,,,,,,,0.097,0.,0.097
2274,,,,,,,,,,0.177,0.,0.029,0.192,0.003,0.05,,,,,,
2275,,,,,,,,,,,,,,,,,,,0.098,0.,0.098
2278,,,,1.836,0.,1.836,,,,,,,,,,,,,,,
2282,,,,1.87,0.,1.869,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,0.129,0.,0.129
2353,,,,,,,,,,,,,,,,,,,0.107,0.,0.106
2388,,,,,,,,,,0.171,0.003,0.026,0.175,0.011,0.024,,,,,,
2392,,,,,,,,,,,,,,,,,,,0.119,0.,0.118
2420,,,,2.066,0.,2.066,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,0.119,0.,0.119
2471,,,,,,,,,,,,,,,,,,,0.127,0.,0.127
2502,,,,,,,,,,0.172,0.004,0.029,0.186,0.003,0.032,,,,,,
2510,,,,,,,,,,,,,,,,,,,0.126,0.,0.126
2521,,,,,,,5.555,0.024,5.529,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,0.128,0.,0.128
2562,,,,2.337,0.007,2.329,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,0.131,0.,0.131
2615,,,,,,,,,,0.175,0.,0.034,0.177,0.,0.037,,,,,,
2628,,,,,,,,,,,,,,,,,,,0.133,0.,0.133
2667,,,,,,,,,,,,,,,,,,,0.135,0.,0.135
2705,,,,2.66,0.003,2.656,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,0.14,0.,0.14
2729,,,,,,,,,,0.187,0.004,0.037,0.18,0.004,0.033,,,,,,
2745,,,,,,,,,,,,,,,,,,,0.143,0.,0.143
2784,,,,,,,,,,,,,,,,,,,0.167,0.,0.167
2824,,,,,,,,,,,,,,,,,,,0.152,0.,0.152
2842,,,,,,,,,,0.207,0.007,0.058,0.182,0.003,0.038,,,,,,
2847,,,,2.829,0.,2.828,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,0.154,0.,0.154
2881,,,,,,,7.503,0.068,7.435,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,0.166,0.,0.166
2941,,,,,,,,,,,,,,,,,,,0.17,0.,0.17
2956,,,,,,,,,,0.182,0.007,0.037,0.222,0.007,0.068,,,,,,
2980,,,,,,,,,,,,,,,,,,,0.171,0.,0.171
3019,,,,,,,,,,,,,,,,,,,0.193,0.,0.193
3059,,,,,,,,,,,,,,,,,,,0.305,0.,0.304
3070,,,,,,,,,,0.19,0.,0.047,0.338,0.015,0.181,,,,,,
3098,,,,,,,,,,,,,,,,,,,0.183,0.,0.183
3137,,,,,,,,,,,,,,,,,,,0.188,0.,0.188
3183,,,,,,,,,,0.195,0.015,0.036,0.188,0.007,0.041,,,,,,
3241,,,,,,,9.226,0.043,9.164,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,,,,,0.2,0.,0.2
3297,,,,,,,,,,0.225,0.003,0.077,0.196,0.004,0.052,,,,,,
3398,,,,,,,,,,,,,,,,,,,0.217,0.,0.217
3410,,,,,,,,,,0.198,0.003,0.052,0.199,0.,0.054,,,,,,
3416,,,,4.153,0.003,4.149,,,,,,,,,,,,,,,
3524,,,,,,,,,,0.199,0.003,0.058,0.215,0.008,0.072,,,,,,
3529,,,,,,,,,,,,,,,,,,,0.25,0.,0.25
3601,,,,,,,11.23,0.,11.229,,,,,,,,,,,,
3638,,,,,,,,,,0.198,0.004,0.058,0.196,0.003,0.057,,,,,,
3660,,,,,,,,,,,,,,,,,,,0.254,0.,0.254
3674,,,,,,,,,,0.157,0.004,0.057,0.178,0.004,0.077,,,,,,
3751,,,,,,,,,,0.229,0.012,0.084,0.339,0.003,0.2,,,,,,
3790,,,,,,,,,,,,,,,,,,,0.264,0.,0.264
3865,,,,,,,,,,0.21,0.,0.072,0.241,0.008,0.089,,,,,,
3921,,,,,,,,,,,,,,,,,,,0.285,0.,0.285
3979,,,,,,,,,,0.219,0.004,0.071,0.206,0.,0.07,,,,,,
3985,,,,5.587,0.,5.586,,,,,,,,,,,,,,,
4024,,,,,,,,,,,,,,,,,,,0.327,0.,0.327
4052,,,,,,,,,,,,,,,,,,,0.303,0.,0.303
4092,,,,,,,,,,0.23,0.,0.081,0.235,0.019,0.078,,,,,,
4182,,,,,,,,,,,,,,,,,,,0.32,0.,0.32
4206,,,,,,,,,,0.224,0.,0.083,0.252,0.004,0.107,,,,,,
4313,,,,,,,,,,,,,,,,,,,0.349,0.,0.349
4319,,,,,,,,,,0.37,0.019,0.205,0.222,0.007,0.077,,,,,,
4433,,,,,,,,,,0.23,0.011,0.08,0.224,0.,0.086,,,,,,
4444,,,,,,,,,,,,,,,,,,,0.366,0.,0.366
4547,,,,,,,,,,0.238,0.007,0.089,0.233,0.004,0.09,,,,,,
4555,,,,7.185,0.,7.185,,,,,,,,,,,,,,,
4574,,,,,,,,,,,,,,,,,,,0.406,0.,0.406
4660,,,,,,,,,,0.248,0.003,0.1,0.243,0.004,0.097,,,,,,
4705,,,,,,,,,,,,,,,,,,,0.537,0.,0.537
4774,,,,,,,,,,0.239,0.,0.1,0.237,0.004,0.096,,,,,,
4836,,,,,,,,,,,,,,,,,,,0.44,0.,0.44
4887,,,,,,,,,,0.255,0.003,0.105,0.249,0.003,0.105,,,,,,
4966,,,,,,,,,,,,,,,,,,,0.494,0.,0.494
5001,,,,,,,,,,0.256,0.003,0.109,0.247,0.003,0.105,,,,,,
5097,,,,,,,,,,,,,,,,,,,0.472,0.,0.472
5115,,,,,,,,,,0.293,0.004,0.129,0.275,0.,0.117,,,,,,
