param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
3790,,,,,,,,,,,,,,,,,,,0.185,0.,0.185
3865,,,,,,,,,,0.173,0.008,0.043,0.169,0.007,0.039,,,,,,
3921,,,,,,,,,,,,,,,,,,,0.198,0.,0.198
3979,,,,,,,,,,0.171,0.004,0.045,0.177,0.003,0.048,,,,,,
3985,,,,3.089,0.,3.089,,,,,,,,,,,,,,,
4024,,,,,,,,,,,,,,,,,,,0.254,0.,0.254
4052,,,,,,,,,,,,,,,,,,,0.214,0.,0.214
4092,,,,,,,,,,0.18,0.011,0.046,0.176,0.003,0.05,,,,,,
4182,,,,,,,,,,,,,,,,,,,0.224,0.,0.224
4206,,,,,,,,,,0.178,0.003,0.053,0.185,0.007,0.053,,,,,,
4313,,,,,,,,,,,,,,,,,,,0.241,0.,0.241
4319,,,,,,,,,,0.188,0.004,0.058,0.185,0.007,0.055,,,,,,
4433,,,,,,,,,,0.189,0.004,0.061,0.191,0.004,0.065,,,,,,
4444,,,,,,,,,,,,,,,,,,,0.262,0.,0.262
4547,,,,,,,,,,0.186,0.007,0.056,0.185,0.004,0.058,,,,,,
4555,,,,4.068,0.,4.068,,,,,,,,,,,,,,,
4574,,,,,,,,,,,,,,,,,,,0.266,0.,0.266
4660,,,,,,,,,,0.189,0.003,0.063,0.193,0.004,0.066,,,,,,
4705,,,,,,,,,,,,,,,,,,,0.283,0.,0.283
4774,,,,,,,,,,0.189,0.003,0.064,0.193,0.004,0.068,,,,,,
4836,,,,,,,,,,,,,,,,,,,0.291,0.,0.291
4887,,,,,,,,,,0.197,0.003,0.069,0.196,0.004,0.065,,,,,,
4966,,,,,,,,,,,,,,,,,,,0.315,0.,0.315
5001,,,,,,,,,,0.203,0.015,0.063,0.198,0.004,0.073,,,,,,
5097,,,,,,,,,,,,,,,,,,,0.334,0.,0.334
5115,,,,,,,,,,0.198,0.004,0.072,0.201,0.004,0.073,,,,,,
5124,,,,5.147,0.,5.147,,,,,,,,,,,,,,,
5228,,,,,,,,,,0.204,0.004,0.075,0.21,0.003,0.08,,,,0.344,0.,0.344
5342,,,,,,,,,,0.207,0.007,0.077,0.208,0.004,0.082,,,,,,
5358,,,,,,,,,,,,,,,,,,,0.372,0.,0.372
5456,,,,,,,,,,0.206,0.007,0.077,0.209,0.007,0.078,,,,,,
5489,,,,,,,,,,,,,,,,,,,0.384,0.,0.384
5569,,,,,,,,,,0.212,0.015,0.076,0.213,0.008,0.085,,,,,,
5620,,,,,,,,,,,,,,,,,,,0.403,0.,0.403
5683,,,,,,,,,,0.213,0.003,0.089,0.219,0.004,0.092,,,,,,
5693,,,,6.241,0.007,6.233,,,,,,,,,,,,,,,
5750,,,,,,,,,,,,,,,,,,,0.418,0.,0.418
5796,,,,,,,,,,0.223,0.004,0.094,0.224,0.004,0.095,,,,,,
5881,,,,,,,,,,,,,,,,,,,0.429,0.,0.429
5910,,,,,,,,,,0.225,0.007,0.094,0.226,0.003,0.098,,,,,,
6012,,,,,,,,,,,,,,,,,,,0.475,0.,0.475
6034,,,,,,,,,,,,,,,,,,,0.455,0.,0.455
6142,,,,,,,,,,,,,,,,,,,0.472,0.,0.472
6221,,,,,,,,,,0.231,0.003,0.105,0.237,0.003,0.109,,,,,,
6273,,,,,,,,,,,,,,,,,,,0.501,0.,0.501
6532,,,,,,,,,,0.243,0.004,0.117,0.245,0.004,0.118,,,,,,
6843,,,,,,,,,,0.253,0.003,0.126,0.26,0.015,0.121,,,,,,
6900,,,,,,,,,,,,,,,,,,,0.597,0.,0.597
7154,,,,,,,,,,0.264,0.007,0.134,0.298,0.011,0.163,,,,,,
7346,,,,,,,,,,0.267,0.007,0.148,0.275,0.004,0.159,,,,,,
7465,,,,,,,,,,0.285,0.008,0.152,0.293,0.015,0.153,,,,,,
7527,,,,,,,,,,,,,,,,,,,0.719,0.,0.719
7776,,,,,,,,,,0.29,0.004,0.164,0.301,0.004,0.175,,,,,,
8045,,,,,,,,,,,,,,,,,,,0.843,0.,0.843
8087,,,,,,,,,,0.304,0.011,0.169,0.31,0.015,0.172,,,,,,
8154,,,,,,,,,,,,,,,,,,,0.817,0.,0.817
8398,,,,,,,,,,0.314,0.003,0.187,0.322,0.004,0.195,,,,,,
8709,,,,,,,,,,0.331,0.003,0.206,0.337,0.008,0.206,,,,,,
8781,,,,,,,,,,,,,,,,,,,0.955,0.,0.955
9019,,,,,,,,,,0.349,0.008,0.217,0.353,0.007,0.224,,,,,,
9330,,,,,,,,,,0.359,0.008,0.227,0.378,0.004,0.25,,,,,,
9409,,,,,,,,,,,,,,,,,,,1.125,0.,1.125
9641,,,,,,,,,,0.368,0.007,0.238,0.379,0.004,0.253,,,,,,
9952,,,,,,,,,,0.383,0.012,0.247,0.385,0.007,0.254,,,,,,
10036,,,,,,,,,,,,,,,,,,,1.206,0.,1.206
10056,,,,,,,,,,,,,,,,,,,1.304,0.,1.304
10263,,,,,,,,,,0.407,0.008,0.274,0.396,0.003,0.271,,,,,,
10574,,,,,,,,,,0.411,0.008,0.281,0.422,0.004,0.293,,,,,,
10663,,,,,,,,,,,,,,,,,,,1.349,0.,1.349
10885,,,,,,,,,,0.433,0.003,0.306,0.441,0.008,0.31,,,,,,
11017,,,,,,,,,,0.436,0.003,0.319,0.449,0.008,0.327,,,,,,
11196,,,,,,,,,,0.442,0.004,0.314,0.449,0.003,0.322,,,,,,
11290,,,,,,,,,,,,,,,,,,,1.597,0.,1.597
11507,,,,,,,,,,0.456,0.019,0.313,0.471,0.007,0.339,,,,,,
11818,,,,,,,,,,0.481,0.003,0.353,0.484,0.007,0.353,,,,,,
11917,,,,,,,,,,,,,,,,,,,1.796,0.,1.796
12544,,,,,,,,,,,,,,,,,,,1.977,0.,1.977
13000,,,,,,,,,,0.556,0.008,0.425,0.563,0.004,0.435,,,,,,
14181,,,,,,,,,,0.641,0.004,0.516,0.666,0.007,0.532,,,,,,
14689,,,,,,,,,,0.68,0.004,0.561,0.669,0.003,0.55,,,,,,
15052,,,,,,,,,,,,,,,,,,,2.775,0.,2.775
15363,,,,,,,,,,0.764,0.008,0.632,0.74,0.012,0.605,,,,,,
16544,,,,,,,,,,0.824,0.008,0.692,0.826,0.015,0.687,,,,,,
17561,,,,,,,,,,,,,,,,,,,3.781,0.,3.78
17726,,,,,,,,,,0.919,0.003,0.793,0.903,0.007,0.772,,,,,,
18361,,,,,,,,,,0.94,0.011,0.818,0.944,0.004,0.829,,,,,,
18908,,,,,,,,,,1.014,0.004,0.886,1.014,0.008,0.878,,,,,,
20069,,,,,,,,,,,,,,,,,,,4.937,0.,4.937
20089,,,,,,,,,,1.11,0.006,0.977,1.151,0.008,1.018,,,,,,
21271,,,,,,,,,,1.225,0.003,1.096,1.226,0.004,1.095,,,,,,
22452,,,,,,,,,,1.345,0.004,1.219,1.384,0.011,1.248,,,,,,
22578,,,,,,,,,,,,,,,,,,,6.258,0.,6.258
23634,,,,,,,,,,1.501,0.008,1.371,1.538,0.012,1.401,,,,,,
25086,,,,,,,,,,,,,,,,,,,7.728,0.,7.727
28361,,,,,,,,,,2.118,0.004,1.991,2.125,0.007,1.99,,,,,,
33087,,,,,,,,,,2.813,0.011,2.677,2.781,0.004,2.652,,,,,,
37814,,,,,,,,,,3.633,0.012,3.496,3.609,0.012,3.474,,,,,,
42540,,,,,,,,,,4.589,0.02,4.441,4.626,0.012,4.49,,,,,,
47267,,,,,,,,,,5.461,0.012,5.326,6.408,0.008,6.277,,,,,,
