param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1081,,,,,,,0.96,0.,0.959,,,,,,,,,,,,,,,,,,,,
1084,,,,0.366,0.,0.366,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.,0.029
1115,,,,0.391,0.,0.391,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.08676,0.00033,0.00486,0.00123,0.093,0.,0.009,0.08852,0.00032,0.00504,0.00150,0.095,0.,0.009,,,,0.03,0.,0.03
1146,,,,0.391,0.,0.391,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,1.29,0.019,1.27,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,1.025,0.,1.024,,,,,,,,,,,,,,,,,,,,
1177,,,,0.425,0.,0.425,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.003,0.046
1208,,,,0.437,0.,0.437,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.,0.033
1239,,,,0.455,0.,0.455,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.08895,0.00027,0.00587,0.00149,0.096,0.003,0.006,0.09491,0.00028,0.00581,0.00162,0.102,0.003,0.006,,,,,,
1256,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1261,,,,,,,1.268,0.019,1.248,,,,,,,,,,,,,,,,,,,,
1269,,,,0.483,0.,0.483,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.,0.036
1300,,,,0.522,0.,0.522,,,,,,,,,,,,,,,,,,,,,,,
1331,,,,0.601,0.,0.601,,,,,,,,,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
1351,,,,,,,1.585,0.004,1.581,,,,,,,,,,,,,,,,,,,,
1362,,,,0.64,0.,0.64,,,,,,,,,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.08095,0.00029,0.00630,0.00129,0.088,0.003,0.006,0.12310,0.00028,0.00577,0.00142,0.13,0.003,0.037,,,,,,
1370,,,,0.736,0.004,0.732,,,,,,,,,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,0.,0.148
1393,,,,0.654,0.003,0.65,,,,,,,,,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.,0.039
1424,,,,0.64,0.004,0.636,,,,,,,,,,,,,,,,,,,,,,,
