param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1593,,,,,,,,,,0.10671,0.00021,0.00702,0.00128,0.115,0.004,0.008,0.10759,0.00028,0.00684,0.00128,0.116,0.004,0.008,,,,,,
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.,0.042
1621,,,,,,,1.446,0.,1.446,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.,0.042
1687,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.,0.046
1706,,,,,,,,,,0.10913,0.00026,0.00763,0.00136,0.118,0.007,0.006,0.10741,0.00028,0.00794,0.00135,0.117,0.004,0.009,,,,,,
1709,,,,0.54,0.,0.54,,,,,,,,,,,,,,,,,,,,,,,
1711,,,,,,,1.528,0.,1.528,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.,0.047
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.,0.05
1801,,,,,,,1.696,0.,1.696,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.,0.05
1820,,,,,,,,,,0.10744,0.00026,0.01298,0.00148,0.122,0.003,0.015,0.10801,0.00028,0.00868,0.00145,0.118,0.004,0.009,,,,,,
1826,,,,0.603,0.,0.603,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.,0.054
1851,,,,0.625,0.,0.625,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,0.,0.059
1933,,,,,,,,,,0.10759,0.00026,0.00986,0.00156,0.119,0.003,0.012,0.10893,0.00028,0.00958,0.00155,0.12,0.003,0.011,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.,0.06
1993,,,,0.783,0.,0.783,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.,0.062
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,0.,0.082
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.,0.065
2047,,,,,,,,,,0.10685,0.00026,0.01411,0.00177,0.123,0.004,0.016,0.10700,0.00025,0.01068,0.00172,0.119,0.004,0.012,,,,,,
2079,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.,0.067
2118,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.,0.07
2136,,,,0.884,0.003,0.88,,,,,,,,,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,0.,0.072
2161,,,,,,,2.509,0.,2.509,0.10826,0.00026,0.01185,0.00172,0.122,0.004,0.013,0.10777,0.00031,0.01651,0.00170,0.126,0.006,0.016,,,,,,
2197,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.,0.075
2236,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.,0.077
2274,,,,,,,,,,0.10775,0.00026,0.01327,0.00177,0.123,0.003,0.015,0.10765,0.00028,0.01279,0.00187,0.122,0.003,0.015,,,,,,
2275,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.,0.08
2278,,,,1.002,0.,1.002,,,,,,,,,,,,,,,,,,,,,,,
2282,,,,0.962,0.,0.962,,,,,,,,,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,0.,0.082
2353,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.,0.087
2388,,,,,,,,,,0.10770,0.00026,0.01732,0.00226,0.127,0.004,0.02,0.10866,0.00026,0.01443,0.00188,0.125,0.004,0.016,,,,,,
2392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,0.,0.089
2420,,,,1.116,0.,1.115,,,,,,,,,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,0.,0.092
2471,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,0.,0.094
2502,,,,,,,,,,0.10701,0.00031,0.01917,0.00201,0.128,0.002,0.023,0.10781,0.00028,0.01526,0.00194,0.125,0.004,0.017,,,,,,
2510,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,0.,0.095
2521,,,,,,,3.311,0.004,3.307,,,,,,,,,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.,0.099
2562,,,,1.26,0.004,1.256,,,,,,,,,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.,0.102
2615,,,,,,,,,,0.10851,0.00026,0.01689,0.00206,0.127,0.003,0.019,0.11049,0.00028,0.02079,0.00206,0.133,0.007,0.019,,,,,,
2628,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,0.,0.106
2667,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,0.,0.108
2705,,,,1.394,0.,1.394,,,,,,,,,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,0.003,0.109
2729,,,,,,,,,,0.10826,0.00024,0.01833,0.00215,0.129,0.004,0.021,0.10835,0.00028,0.02262,0.00218,0.133,0.003,0.026,,,,,,
2745,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,0.,0.114
2784,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,0.,0.119
2824,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.,0.118
2842,,,,,,,,,,0.10799,0.00026,0.01980,0.00224,0.13,0.004,0.022,0.11028,0.00028,0.02392,0.00224,0.136,0.002,0.028,,,,,,
2847,,,,1.538,0.,1.538,,,,,,,,,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,0.,0.122
2881,,,,,,,4.418,0.019,4.398,,,,,,,,,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,0.,0.126
2941,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,0.003,0.123
2956,,,,,,,,,,0.10699,0.00024,0.02134,0.00664,0.135,0.004,0.028,0.10670,0.00028,0.02127,0.00230,0.13,0.004,0.024,,,,,,
2980,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,0.,0.133
3019,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0.,0.135
3059,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,0.,0.138
3070,,,,,,,,,,0.10969,0.00026,0.02525,0.00244,0.137,0.003,0.029,0.10804,0.00027,0.02261,0.00237,0.133,0.004,0.025,,,,,,
3098,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.,0.14
