param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
98,98,1,0.099,0.,0.099,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,0.049,0.,0.049,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,0.023,0.,0.023,,,,,,,,,,,,
104,1,104,0.19,0.,0.19,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.093,0.,0.093,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.195,0.,0.195,,,,,,,,,,0.054,0.,0.054,,,,,,,,,,,,
110,10,11,0.012,0.,0.012,,,,,,,0.085,0.003,0.002,0.011,0.,0.011,0.,0.,0.,,,,,,,,,
110,110,1,0.184,0.,0.184,,,,,,,,,,0.025,0.,0.025,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.084,0.004,0.001,,,,0.,0.,0.,,,,,,,,,
114,114,1,,,,,,,,,,0.084,0.,0.005,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.205,0.,0.205,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.122,0.,0.122,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,0.062,0.,0.062,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,0.044,0.,0.044,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
123,1,123,0.211,0.,0.211,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.108,0.,0.108,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.289,0.,0.289,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.26,0.,0.26,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,0.078,0.,0.078,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,0.046,0.,0.046,,,,,,,,,,,,
132,11,12,0.014,0.,0.014,0.,0.,0.,0.,0.,0.,,,,0.013,0.,0.013,,,,,,,,,,,,
135,1,135,0.316,0.,0.316,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.156,0.,0.156,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,0.08,0.,0.08,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,0.038,0.,0.038,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.087,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
150,150,1,,,,,,,,,,0.084,0.004,0.001,,,,0.001,0.,0.001,,,,,,,,,
151,1,151,,,,,,,,,,,,,0.09,0.,0.09,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,0.04,0.,0.04,,,,,,,,,,,,
156,12,13,0.018,0.,0.018,,,,,,,0.085,0.,0.005,0.014,0.,0.014,0.001,0.,0.001,,,,,,,,,
157,1,157,0.332,0.,0.332,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.191,0.,0.191,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,0.193,0.,0.193,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,0.046,0.,0.046,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,0.12,0.,0.12,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,0.05,0.,0.05,,,,,,,,,,,,
180,1,180,0.405,0.,0.405,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.218,0.,0.218,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,0.144,0.,0.144,,,,,,,,,,,,
182,13,14,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.086,0.003,0.001,0.019,0.,0.019,0.001,0.,0.001,,,,,,,,,
182,182,1,,,,,,,,,,,,,0.053,0.,0.053,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.089,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
185,185,1,,,,,,,,,,0.087,0.,0.006,,,,0.001,0.,0.001,,,,,,,,,
193,1,193,,,,,,,,,,,,,0.127,0.,0.127,,,,,,,,,,,,
193,193,1,,,,,,,,,,,,,0.068,0.,0.068,,,,,,,,,,,,
202,1,202,0.613,0.,0.613,,,,,,,,,,,,,,,,,,,,,,,,
202,202,1,0.345,0.,0.345,,,,,,,,,,,,,,,,,,,,,,,,
203,1,203,,,,,,,,,,,,,0.157,0.,0.157,,,,,,,,,,,,
203,203,1,,,,,,,,,,,,,0.067,0.,0.067,,,,,,,,,,,,
210,1,210,0.729,0.,0.729,,,,,,,,,,,,,,,,,,,,,,,,
210,14,15,0.027,0.,0.027,,,,,,,0.084,0.,0.005,0.019,0.,0.019,0.001,0.,0.001,,,,,,,,,
210,210,1,0.52,0.,0.52,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,,,,,,,,,,,,,0.155,0.,0.155,,,,,,,,,,,,
214,214,1,,,,,,,,,,,,,0.073,0.,0.073,,,,,,,,,,,,
221,1,221,,,,,,,,,,0.086,0.004,0.001,,,,0.002,0.,0.002,,,,,,,,,
221,221,1,,,,,,,,,,0.09,0.,0.005,,,,0.001,0.,0.001,,,,,,,,,
224,1,224,0.683,0.,0.683,,,,,,,,,,0.196,0.,0.196,,,,,,,,,,,,
224,224,1,0.393,0.,0.393,,,,,,,,,,0.082,0.,0.081,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,0.194,0.,0.194,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,0.08,0.,0.08,,,,,,,,,,,,
239,1,239,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
240,15,16,0.027,0.,0.027,0.,0.,0.,0.,0.,0.,,,,0.022,0.,0.022,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,0.3,0.,0.3,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,0.082,0.,0.082,,,,,,,,,,,,
247,1,247,0.737,0.,0.737,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.406,0.,0.406,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,0.212,0.,0.212,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,0.101,0.,0.101,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.088,0.004,0.001,,,,0.001,0.,0.001,,,,,,,,,
257,257,1,,,,,,,,,,0.087,0.,0.005,,,,0.001,0.,0.001,,,,,,,,,
269,1,269,1.063,0.,1.063,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.658,0.,0.658,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.029,0.,0.029,,,,,,,0.085,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
291,1,291,,,,,,,,,,,,,0.256,0.,0.256,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,0.127,0.,0.127,,,,,,,,,,,,
293,1,293,,,,,,,,,,0.084,0.004,0.001,,,,0.001,0.,0.001,,,,,,,,,
293,293,1,,,,,,,,,,0.094,0.004,0.002,,,,0.002,0.,0.002,,,,,,,,,
297,1,297,,,,0.001,0.,0.001,0.002,0.,0.002,,,,,,,,,,,,,,,,,,
