param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
257,1,257,,,,,,,,,,0.07386,0.00018,0.00055,0.03750,0.112,0.,0.039,,,,0.001,0.,0.001,,,,,,,,,
257,257,1,,,,,,,,,,0.07262,0.00018,0.00042,0.00090,0.074,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
269,1,269,0.215,0.,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.152,0.,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.016,0.,0.016,,,,,,,0.07320,0.00018,0.00041,0.00079,0.074,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
291,1,291,,,,,,,,,,,,,,,,,0.207,0.,0.207,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,,,,,0.118,0.,0.118,,,,,,,,,,,,
293,1,293,,,,,,,,,,0.07270,0.00018,0.00047,0.00080,0.074,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
293,293,1,,,,,,,,,,0.07313,0.00026,0.00042,0.00099,0.074,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
297,1,297,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
297,297,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
306,17,18,,,,0.,0.,0.,0.,0.,0.,0.07273,0.00019,0.00040,0.00094,0.074,0.,0.002,0.02,0.,0.02,0.001,0.,0.001,,,,,,,,,
307,1,307,,,,,,,,,,0.07317,0.00018,0.00039,0.00092,0.074,0.,0.002,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.07307,0.00021,0.00041,0.00118,0.075,0.,0.002,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,,,,,0.249,0.,0.249,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,,,,,0.194,0.,0.194,,,,,,,,,,,,
329,1,329,,,,,,,,,,0.07412,0.00018,0.00042,0.00085,0.075,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
329,329,1,,,,,,,,,,0.07361,0.00025,0.00041,0.00112,0.075,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
336,1,336,0.307,0.,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.208,0.003,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.07475,0.00018,0.00040,0.00095,0.076,0.,0.002,0.022,0.,0.022,0.001,0.,0.001,,,,,,,,,
355,1,355,,,,0.001,0.,0.001,0.001,0.001,0.,,,,,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.001,0.,0.001,0.001,0.001,0.,,,,,,,,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,,,,,0.296,0.,0.296,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,,,,,0.174,0.,0.174,,,,,,,,,,,,
365,1,365,,,,,,,,,,0.07322,0.00017,0.00041,0.00095,0.074,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
365,365,1,,,,,,,,,,0.07291,0.00018,0.00042,0.00138,0.075,0.,0.003,,,,0.001,0.,0.001,,,,,,,,,
380,19,20,,,,,,,,,,0.07517,0.00018,0.00046,0.00098,0.076,0.002,0.,0.026,0.,0.026,0.001,0.,0.001,,,,,,,,,
400,1,400,,,,,,,,,,,,,,,,,0.374,0.,0.374,,,,,,,,,,,,
400,20,20,,,,,,,,,,,,,,,,,0.028,0.,0.028,,,,,,,,,,,,
400,400,1,,,,,,,,,,,,,,,,,0.211,0.,0.211,,,,,,,,,,,,
401,1,401,,,,,,,,,,0.07505,0.00018,0.00043,0.00106,0.076,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
401,401,1,,,,,,,,,,0.07586,0.00018,0.00044,0.00136,0.077,0.002,0.,,,,0.035,0.,0.035,,,,,,,,,
402,1,402,,,,,,,,,,,,,,,,,0.401,0.007,0.393,,,,,,,,,,,,
402,402,1,,,,,,,,,,,,,,,,,0.255,0.,0.255,,,,,,,,,,,,
404,1,404,0.462,0.,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,404,1,0.337,0.,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,1,413,,,,0.001,0.001,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
413,413,1,,,,0.001,0.001,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
414,1,414,0.493,0.,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,414,1,0.433,0.,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,20,21,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.07398,0.00018,0.00041,0.00114,0.075,0.,0.002,0.028,0.,0.028,0.001,0.,0.001,,,,,,,,,
436,1,436,,,,,,,,,,,,,,,,,0.42,0.,0.42,,,,,,,,,,,,
436,436,1,,,,,,,,,,,,,,,,,0.228,0.,0.228,,,,,,,,,,,,
