param-n,abstract+autorewrite-regression-quadratic-real,abstract+autorewrite-regression-quadratic-sys,abstract+autorewrite-regression-quadratic-user,abstract+rewrite!-regression-quadratic-real,abstract+rewrite!-regression-quadratic-sys,abstract+rewrite!-regression-quadratic-user,autorewrite-noop-regression-linear-real,autorewrite-noop-regression-linear-sys,autorewrite-noop-regression-linear-user,autorewrite-regression-quadratic-real,autorewrite-regression-quadratic-sys,autorewrite-regression-quadratic-user,close-abstract+autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-sys,close-abstract+autorewrite-regression-quadratic-user,close-abstract+rewrite!-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-sys,close-abstract+rewrite!-regression-quadratic-user,rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-sys,rewrite!-regression-quadratic-user,rewrite?-noop-regression-linear-real,rewrite?-noop-regression-linear-sys,rewrite?-noop-regression-linear-user
66,0.076,0.,0.076,0.077,0.003,0.073,0.,0.,0.,0.055,0.,0.055,0.019,0.,0.019,0.019,0.,0.019,0.056,0.003,0.052,0.,0.,0.
67,0.075,0.,0.075,0.078,0.,0.078,0.,0.,0.,0.055,0.,0.055,0.018,0.,0.018,0.021,0.,0.021,0.055,0.,0.055,0.,0.,0.
68,0.08,0.,0.08,0.081,0.,0.081,0.,0.,0.,0.057,0.,0.057,0.021,0.,0.021,0.021,0.,0.021,0.058,0.,0.058,0.,0.,0.
69,0.083,0.,0.083,0.086,0.,0.086,0.,0.,0.,0.06,0.,0.06,0.021,0.,0.021,0.023,0.,0.023,0.062,0.,0.062,0.,0.,0.
70,0.083,0.,0.082,0.086,0.,0.086,0.,0.,0.,0.06,0.,0.06,0.021,0.,0.021,0.02,0.,0.02,0.064,0.,0.063,0.,0.,0.
71,0.087,0.,0.087,0.088,0.,0.088,0.,0.,0.,0.064,0.,0.064,0.021,0.,0.021,0.023,0.,0.023,0.062,0.,0.062,0.,0.,0.
72,0.089,0.,0.089,0.087,0.,0.087,0.,0.,0.,0.064,0.,0.064,0.023,0.,0.023,0.022,0.,0.022,0.062,0.,0.062,0.,0.,0.
73,0.094,0.,0.094,0.089,0.,0.089,0.,0.,0.,0.069,0.,0.069,0.023,0.,0.023,0.023,0.,0.023,0.063,0.,0.063,0.002,0.,0.002
74,0.091,0.,0.091,0.095,0.,0.095,0.,0.,0.,0.065,0.,0.065,0.024,0.,0.024,0.025,0.,0.025,0.068,0.,0.068,0.,0.,0.
75,0.097,0.,0.097,0.098,0.,0.098,0.,0.,0.,0.07,0.,0.07,0.025,0.,0.025,0.024,0.,0.024,0.072,0.,0.072,0.,0.,0.
76,0.103,0.,0.103,0.101,0.,0.101,0.002,0.,0.002,0.075,0.,0.075,0.024,0.,0.024,0.024,0.,0.024,0.075,0.,0.075,0.,0.,0.
77,0.104,0.,0.104,0.102,0.,0.102,0.,0.,0.,0.076,0.,0.076,0.025,0.,0.025,0.025,0.,0.025,0.071,0.,0.071,0.004,0.,0.004
78,0.105,0.,0.105,0.103,0.,0.103,0.,0.,0.,0.078,0.,0.078,0.025,0.,0.025,0.026,0.,0.026,0.074,0.,0.074,0.,0.,0.
79,0.106,0.,0.106,0.105,0.,0.105,0.,0.,0.,0.078,0.,0.078,0.025,0.,0.025,0.028,0.,0.028,0.075,0.,0.075,0.,0.,0.
80,0.109,0.,0.109,0.112,0.,0.112,0.,0.,0.,0.078,0.,0.078,0.029,0.,0.029,0.03,0.,0.03,0.08,0.,0.08,0.,0.,0.
81,0.113,0.003,0.11,0.111,0.,0.111,0.,0.,0.,0.08,0.,0.08,0.031,0.003,0.027,0.03,0.,0.03,0.079,0.,0.079,0.,0.,0.
82,0.119,0.,0.119,0.115,0.,0.114,0.,0.,0.,0.084,0.,0.084,0.033,0.,0.033,0.032,0.,0.032,0.081,0.,0.08,0.,0.,0.
83,0.117,0.,0.117,0.116,0.,0.116,0.,0.,0.,0.086,0.,0.086,0.029,0.,0.029,0.031,0.,0.031,0.082,0.,0.082,0.,0.,0.
84,0.123,0.,0.123,0.12,0.,0.12,0.,0.,0.,0.091,0.,0.091,0.029,0.,0.029,0.029,0.,0.029,0.084,0.,0.084,0.004,0.,0.004
