param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.,0.061
1851,,,,1.175,0.004,1.171,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.,0.063
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.,0.062
1933,,,,,,,,,,0.06947,0.00019,0.01616,0.00286,0.088,0.,0.021,0.06688,0.00021,0.01696,0.03178,0.116,0.003,0.047,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,0.,0.139
1993,,,,1.362,0.007,1.354,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.,0.066
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.001,0.079
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.,0.07
2047,,,,,,,,,,0.06899,0.00018,0.01806,0.00294,0.09,0.003,0.019,0.07904,0.00022,0.01848,0.00300,0.1,0.004,0.02,,,,,,
2079,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,0.,0.076
2118,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.,0.075
2136,,,,1.539,0.003,1.535,,,,,,,,,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,0.,0.079
2161,,,,,,,3.704,0.016,3.687,0.07202,0.00019,0.02044,0.09720,0.19,0.004,0.116,0.06952,0.00022,0.02149,0.00317,0.094,0.003,0.023,,,,,,
2197,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.,0.118
2236,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,0.,0.085
2274,,,,,,,,,,0.06934,0.00018,0.02268,0.00336,0.095,0.004,0.024,0.06968,0.00021,0.02787,0.00326,0.101,0.004,0.029,,,,,,
2275,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.,0.09
2278,,,,1.728,0.011,1.716,,,,,,,,,,,,,,,,,,,,,,,
2282,,,,1.791,0.,1.79,,,,,,,,,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,0.,0.093
2353,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,0.,0.093
2388,,,,,,,,,,0.06926,0.00018,0.02472,0.00354,0.097,0.,0.031,0.07067,0.00021,0.02470,0.00352,0.099,0.,0.031,,,,,,
2392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,0.,0.096
2420,,,,1.985,0.,1.985,,,,,,,,,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.,0.125
2471,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,0.,0.107
2502,,,,,,,,,,0.06832,0.00022,0.06839,0.00441,0.141,0.,0.075,0.07264,0.00022,0.02842,0.00424,0.105,0.003,0.031,,,,,,
2510,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,0.,0.108
2521,,,,,,,4.996,0.004,4.991,,,,,,,,,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,0.,0.112
2562,,,,2.158,0.,2.153,,,,,,,,,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,0.,0.112
2615,,,,,,,,,,0.07195,0.00019,0.03468,0.00395,0.11,0.004,0.037,0.07291,0.00023,0.03036,0.00441,0.108,0.,0.037,,,,,,
2628,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,0.,0.117
2667,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,0.,0.124
2705,,,,2.423,0.,2.423,,,,,,,,,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,0.,0.122
