param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
203,203,1,,,,,,,,,,,,,,,,,0.076,0.,0.076,,,,,,,,,,,,
210,1,210,0.24,0.019,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,14,15,0.015,0.,0.015,,,,,,,0.07715,0.00025,0.00073,0.00082,0.079,0.003,0.001,0.019,0.,0.019,0.001,0.,0.001,,,,,,,,,
210,210,1,0.149,0.,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,,,,,,,,,,,,,,,,,0.178,0.,0.178,,,,,,,,,,,,
214,214,1,,,,,,,,,,,,,,,,,0.081,0.,0.081,,,,,,,,,,,,
221,1,221,,,,,,,,,,0.07498,0.00026,0.00073,0.00083,0.076,0.004,0.,,,,0.001,0.,0.001,,,,,,,,,
221,221,1,,,,,,,,,,0.07578,0.00025,0.00076,0.00114,0.078,0.,0.004,,,,0.001,0.001,0.,,,,,,,,,
224,1,224,0.193,0.,0.193,,,,,,,,,,,,,,0.18,0.,0.18,,,,,,,,,,,,
224,224,1,0.156,0.,0.156,,,,,,,,,,,,,,0.089,0.,0.089,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,,,,,0.184,0.,0.184,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,,,,,0.093,0.,0.093,,,,,,,,,,,,
239,1,239,,,,0.001,0.,0.001,0.002,0.002,0.,,,,,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.001,0.001,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
240,15,16,0.018,0.,0.018,0.,0.,0.,0.001,0.,0.001,,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,,,,,0.217,0.,0.217,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,,,,,0.102,0.,0.102,,,,,,,,,,,,
247,1,247,0.217,0.,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.163,0.,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,,,,,0.23,0.,0.23,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,,,,,0.107,0.003,0.103,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.07643,0.00029,0.00084,0.00092,0.078,0.004,0.,,,,0.009,0.004,0.005,,,,,,,,,
257,257,1,,,,,,,,,,0.07421,0.00024,0.00074,0.00133,0.076,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
269,1,269,0.272,0.,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.22,0.,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.023,0.,0.023,,,,,,,0.07585,0.00026,0.00077,0.00111,0.078,0.003,0.001,,,,0.001,0.,0.001,,,,,,,,,
291,1,291,,,,,,,,,,,,,,,,,0.296,0.,0.296,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,,,,,0.142,0.,0.142,,,,,,,,,,,,
293,1,293,,,,,,,,,,0.07597,0.00030,0.00079,0.00121,0.078,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
293,293,1,,,,,,,,,,0.07550,0.00026,0.00080,0.00197,0.078,0.003,0.002,,,,0.002,0.,0.002,,,,,,,,,
297,1,297,,,,0.002,0.,0.002,0.002,0.002,0.,,,,,,,,,,,,,,,,,,,,,,
297,297,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
