param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
310,1.392,0.,1.392,0.773,0.,0.773,0.283,0.,0.283,0.204,0.,0.204,1.105,0.,1.105,0.001,0.,0.001,0.566,0.,0.566,0.001,0.,0.001
320,1.547,0.015,1.531,0.813,0.,0.813,0.302,0.,0.302,0.213,0.,0.213,1.236,0.015,1.22,0.006,0.,0.006,0.597,0.,0.596,0.001,0.,0.001
330,1.647,0.,1.647,0.799,0.,0.799,0.308,0.,0.308,0.212,0.,0.212,1.336,0.,1.336,0.001,0.,0.001,0.583,0.,0.583,0.001,0.,0.001
340,1.63,0.003,1.626,0.856,0.,0.856,0.308,0.,0.308,0.221,0.,0.221,1.315,0.003,1.311,0.005,0.,0.005,0.631,0.,0.631,0.001,0.,0.001
350,1.867,0.023,1.843,0.931,0.,0.931,0.356,0.,0.356,0.241,0.,0.241,1.508,0.023,1.484,0.001,0.,0.001,0.687,0.,0.687,0.001,0.,0.001
360,1.957,0.,1.957,1.016,0.,1.016,0.354,0.,0.354,0.266,0.,0.266,1.599,0.,1.599,0.001,0.,0.001,0.746,0.,0.746,0.001,0.,0.001
370,2.052,0.003,2.048,1.039,0.,1.039,0.38,0.003,0.376,0.285,0.,0.285,1.668,0.,1.668,0.001,0.,0.001,0.751,0.,0.751,0.001,0.,0.001
380,2.171,0.,2.171,1.12,0.,1.12,0.417,0.,0.417,0.296,0.,0.296,1.75,0.,1.75,0.001,0.,0.001,0.819,0.,0.819,0.004,0.,0.004
390,2.273,0.,2.273,1.188,0.007,1.18,0.444,0.,0.444,0.297,0.001,0.296,1.822,0.,1.822,0.005,0.,0.005,0.888,0.003,0.884,0.001,0.001,0.
400,2.376,0.,2.376,1.302,0.019,1.282,0.438,0.,0.438,0.327,0.,0.327,1.932,0.,1.932,0.004,0.,0.004,0.971,0.019,0.951,0.002,0.,0.002
