param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
98,2,14,211,15,98,0.01,0.,0.01,0.01,0.,0.01,0.098,0.,0.097,0.022,0.,0.022,0.047,0.,0.047,0.015,0.,0.015
99,0,99,201,3,99,,,,,,,,,,0.033,0.,0.033,,,,,,
99,1,33,205,7,99,0.015,0.,0.015,0.076,0.,0.076,,,,0.027,0.,0.027,0.056,0.,0.056,0.023,0.,0.023
100,0,100,203,3,100,0.024,0.,0.024,,,,,,,0.034,0.,0.034,0.07,0.,0.069,0.031,0.,0.031
101,0,101,205,3,101,,,,,,,,,,0.038,0.,0.038,,,,,,
102,0,102,207,3,102,,,,,,,,,,0.035,0.,0.035,,,,,,
102,1,34,211,7,102,,,,,,,0.149,0.,0.149,0.029,0.,0.029,0.058,0.,0.058,,,
103,0,103,209,3,103,0.024,0.,0.024,0.025,0.,0.025,,,,0.036,0.,0.036,0.073,0.,0.073,0.062,0.,0.062
104,0,104,211,3,104,,,,,,,,,,0.041,0.,0.04,,,,,,
105,0,105,213,3,105,,,,,,,,,,0.036,0.,0.036,,,,,,
105,1,35,217,7,105,0.017,0.,0.017,0.018,0.,0.018,,,,0.032,0.,0.032,0.061,0.,0.061,0.027,0.,0.027
105,2,15,225,15,105,0.011,0.,0.011,0.012,0.,0.012,,,,0.026,0.,0.025,0.052,0.,0.052,0.017,0.,0.017
